sample_idx,dataset,model,split,image_id,case_id,resampling_level,base_dice,failure70,failure80,severe50,sprc_cb_score,sam_confidence_risk
39,ISIC2018,SAM ViT-B,calib,ISIC_0013056,ISIC_0013056,image,0.8991166913490183,0,0,0,0.9258333333333332,0.103515625
40,ISIC2018,SAM ViT-B,calib,ISIC_0013082,ISIC_0013082,image,0.9186379844780588,0,0,0,0.4308333333333333,0.04248046875
41,ISIC2018,SAM ViT-B,calib,ISIC_0013219,ISIC_0013219,image,0.936927877947299,0,0,0,0.2925,0.03369140625
42,ISIC2018,SAM ViT-B,calib,ISIC_0013230,ISIC_0013230,image,0.8691452265252935,0,0,0,0.1635416666666666,0.02001953125
43,ISIC2018,SAM ViT-B,calib,ISIC_0013325,ISIC_0013325,image,0.8007300240839501,0,0,0,0.4933333333333333,0.03955078125
44,ISIC2018,SAM ViT-B,calib,ISIC_0013333,ISIC_0013333,image,0.9216146685222262,0,0,0,0.4375,0.0400390625
45,ISIC2018,SAM ViT-B,calib,ISIC_0013603,ISIC_0013603,image,0.9122969377468584,0,0,0,0.6127083333333333,0.0576171875
46,ISIC2018,SAM ViT-B,calib,ISIC_0013652,ISIC_0013652,image,0.8451626080417429,0,0,0,0.7388333333333333,0.06201171875
47,ISIC2018,SAM ViT-B,calib,ISIC_0013800,ISIC_0013800,image,0.9294487858603888,0,0,0,0.2370833333333333,0.029296875
48,ISIC2018,SAM ViT-B,calib,ISIC_0013897,ISIC_0013897,image,0.8889461375743175,0,0,0,0.6599999999999999,0.05322265625
49,ISIC2018,SAM ViT-B,calib,ISIC_0014162,ISIC_0014162,image,0.909117253202128,0,0,0,0.5533333333333333,0.0390625
50,ISIC2018,SAM ViT-B,calib,ISIC_0014428,ISIC_0014428,image,0.906320519470261,0,0,0,0.273125,0.0302734375
51,ISIC2018,SAM ViT-B,calib,ISIC_0014478,ISIC_0014478,image,0.8211941245090989,0,0,0,0.3784375,0.0341796875
52,ISIC2018,SAM ViT-B,calib,ISIC_0014503,ISIC_0014503,image,0.8209652830543274,0,0,0,0.6383333333333333,0.04150390625
53,ISIC2018,SAM ViT-B,calib,ISIC_0014541,ISIC_0014541,image,0.85971930458019,0,0,0,0.801875,0.06103515625
54,ISIC2018,SAM ViT-B,calib,ISIC_0014632,ISIC_0014632,image,0.8058413063808514,0,0,0,0.3445,0.02392578125
55,ISIC2018,SAM ViT-B,calib,ISIC_0014723,ISIC_0014723,image,0.86184743421587,0,0,0,0.902625,0.1533203125
56,ISIC2018,SAM ViT-B,calib,ISIC_0014735,ISIC_0014735,image,0.960257893898392,0,0,0,0.6891666666666667,0.04833984375
57,ISIC2018,SAM ViT-B,calib,ISIC_0014778,ISIC_0014778,image,0.957001279689661,0,0,0,0.16,0.0205078125
58,ISIC2018,SAM ViT-B,calib,ISIC_0014941,ISIC_0014941,image,0.9443103636783304,0,0,0,0.6978125,0.0556640625
59,ISIC2018,SAM ViT-B,calib,ISIC_0015008,ISIC_0015008,image,0.95365937625652,0,0,0,0.723,0.0517578125
60,ISIC2018,SAM ViT-B,calib,ISIC_0015256,ISIC_0015256,image,0.9188542686754,0,0,0,0.6165625000000001,0.041015625
61,ISIC2018,SAM ViT-B,calib,ISIC_0015417,ISIC_0015417,image,0.8360096397324387,0,0,0,0.8355,0.068359375
62,ISIC2018,SAM ViT-B,calib,ISIC_0015985,ISIC_0015985,image,0.9393551008168868,0,0,0,0.2938541666666666,0.03076171875
63,ISIC2018,SAM ViT-B,calib,ISIC_0016017,ISIC_0016017,image,0.839632697617675,0,0,0,0.3191666666666667,0.0322265625
64,ISIC2018,SAM ViT-B,calib,ISIC_0016026,ISIC_0016026,image,0.9046232395128008,0,0,0,0.4463541666666666,0.04052734375
65,ISIC2018,SAM ViT-B,calib,ISIC_0016059,ISIC_0016059,image,0.7886593274016044,0,1,0,0.425625,0.04296875
66,ISIC2018,SAM ViT-B,calib,ISIC_0016071,ISIC_0016071,image,0.8582889207216367,0,0,0,0.3616666666666667,0.03369140625
67,ISIC2018,SAM ViT-B,calib,ISIC_0015104,ISIC_0015104,image,0.9442401265243908,0,0,0,0.5708333333333333,0.0439453125
68,ISIC2018,SAM ViT-B,calib,ISIC_0015633,ISIC_0015633,image,0.8297368695809233,0,0,0,0.8015,0.0634765625
69,ISIC2018,SAM ViT-B,calib,ISIC_0016363,ISIC_0016363,image,0.9676299062970998,0,0,0,0.2258333333333333,0.02099609375
70,ISIC2018,SAM ViT-B,calib,ISIC_0017264,ISIC_0017264,image,0.92106011203078,0,0,0,0.3375,0.03369140625
71,ISIC2018,SAM ViT-B,calib,ISIC_0018090,ISIC_0018090,image,0.8780450212313454,0,0,0,0.7916666666666667,0.05224609375
72,ISIC2018,SAM ViT-B,calib,ISIC_0019326,ISIC_0019326,image,0.8729077433162102,0,0,0,0.6537499999999999,0.04150390625
73,ISIC2018,SAM ViT-B,calib,ISIC_0019432,ISIC_0019432,image,0.8290028282308468,0,0,0,0.8420833333333333,0.0830078125
74,ISIC2018,SAM ViT-B,calib,ISIC_0020327,ISIC_0020327,image,0.8040985102819947,0,0,0,0.7053125,0.05322265625
75,ISIC2018,SAM ViT-B,calib,ISIC_0020507,ISIC_0020507,image,0.9491061423102704,0,0,0,0.4371875,0.03369140625
76,ISIC2018,SAM ViT-B,calib,ISIC_0020548,ISIC_0020548,image,0.9493308218499084,0,0,0,0.5175000000000001,0.0439453125
77,ISIC2018,SAM ViT-B,calib,ISIC_0020563,ISIC_0020563,image,0.8247870699483649,0,0,0,0.838125,0.0615234375
78,ISIC2018,SAM ViT-B,calib,ISIC_0020840,ISIC_0020840,image,0.9607885296547398,0,0,0,0.4049999999999999,0.0283203125
