sample_idx,dataset,model,split,image_id,case_id,resampling_level,base_dice,failure70,failure80,severe50,sprc_cb_score,sam_confidence_risk
119,BUSI,MedSAM,calib,benign (47),benign (47),image,0.7865050079077847,0,1,0,0.666625,0.4794921875
120,BUSI,MedSAM,test,benign (48),benign (48),image,0.8983050847457795,0,0,0,0.4079166666666667,0.39111328125
121,BUSI,MedSAM,test,benign (53),benign (53),image,0.74672766552326,0,1,0,0.58625,0.4013671875
122,BUSI,MedSAM,test,benign (55),benign (55),image,0.7510819489042643,0,1,0,0.53625,0.400390625
123,BUSI,MedSAM,test,benign (57),benign (57),image,0.8038552587084818,0,0,0,0.61025,0.44580078125
124,BUSI,MedSAM,calib,benign (58),benign (58),image,0.7049438990183622,0,1,0,0.7153125,0.43310546875
125,BUSI,MedSAM,calib,benign (59),benign (59),image,0.8122960673193318,0,0,0,0.3289999999999999,0.39892578125
126,BUSI,MedSAM,test,benign (65),benign (65),image,0.8582317837621692,0,0,0,0.5441666666666667,0.40966796875
127,BUSI,MedSAM,test,benign (67),benign (67),image,0.8746869398288976,0,0,0,0.576875,0.41650390625
128,BUSI,MedSAM,calib,benign (68),benign (68),image,0.9292460803072248,0,0,0,0.4924999999999999,0.390625
129,BUSI,MedSAM,calib,benign (7),benign (7),image,0.7178002894364174,0,1,0,0.66,0.48291015625
130,BUSI,MedSAM,calib,benign (76),benign (76),image,0.7193661093088849,0,1,0,0.744375,0.439453125
131,BUSI,MedSAM,calib,benign (77),benign (77),image,0.8204863669861309,0,0,0,0.5034375,0.390625
132,BUSI,MedSAM,test,benign (8),benign (8),image,0.7313150425737444,0,1,0,0.6187499999999999,0.4970703125
133,BUSI,MedSAM,test,benign (90),benign (90),image,0.7480479908593638,0,1,0,0.4359999999999999,0.44873046875
134,BUSI,MedSAM,calib,benign (95),benign (95),image,0.801444043321641,0,0,0,0.6461250000000001,0.455078125
135,BUSI,MedSAM,test,benign (96),benign (96),image,0.9161951341413422,0,0,0,0.40625,0.3994140625
136,BUSI,MedSAM,test,benign (98),benign (98),image,0.9049274339088464,0,0,0,0.4322916666666667,0.38427734375
137,BUSI,MedSAM,calib,benign (99),benign (99),image,0.8648594678249389,0,0,0,0.5058333333333334,0.40185546875
138,BUSI,MedSAM,calib,malignant (100),malignant (100),image,0.7503618213531189,0,1,0,0.86625,0.4716796875
139,BUSI,MedSAM,calib,malignant (103),malignant (103),image,0.6400769640911932,1,1,0,0.7495,0.423828125
140,BUSI,MedSAM,test,malignant (107),malignant (107),image,0.6885020944677726,1,1,0,0.2995,0.359375
141,BUSI,MedSAM,test,malignant (108),malignant (108),image,0.851675843155332,0,0,0,0.43,0.37890625
142,BUSI,MedSAM,test,malignant (109),malignant (109),image,0.7911898326528867,0,1,0,0.6520833333333333,0.44384765625
143,BUSI,MedSAM,calib,malignant (113),malignant (113),image,0.7602456728085539,0,1,0,0.4689583333333333,0.408203125
144,BUSI,MedSAM,calib,malignant (114),malignant (114),image,0.8210919853571499,0,0,0,0.5215624999999999,0.4150390625
145,BUSI,MedSAM,calib,malignant (116),malignant (116),image,0.4279831495245761,1,1,1,0.631875,0.43505859375
146,BUSI,MedSAM,test,malignant (121),malignant (121),image,0.7498267498271832,0,1,0,0.4877083333333333,0.44775390625
147,BUSI,MedSAM,test,malignant (124),malignant (124),image,0.852897768848228,0,0,0,0.516875,0.39306640625
148,BUSI,MedSAM,calib,malignant (127),malignant (127),image,0.8539588412883977,0,0,0,0.6309375,0.4189453125
149,BUSI,MedSAM,test,malignant (133),malignant (133),image,0.8703989946591347,0,0,0,0.5520833333333334,0.40625
150,BUSI,MedSAM,test,malignant (136),malignant (136),image,0.7138635803992688,0,1,0,0.75625,0.51708984375
151,BUSI,MedSAM,test,malignant (143),malignant (143),image,0.7500253626865425,0,1,0,0.5833333333333333,0.43896484375
152,BUSI,MedSAM,calib,malignant (146),malignant (146),image,0.8942652734207617,0,0,0,0.4834374999999999,0.39013671875
153,BUSI,MedSAM,calib,malignant (150),malignant (150),image,0.9189683825230917,0,0,0,0.5659375,0.4130859375
154,BUSI,MedSAM,test,malignant (152),malignant (152),image,0.6859811487314015,1,1,0,0.73,0.4306640625
155,BUSI,MedSAM,test,malignant (154),malignant (154),image,0.7188336214776052,0,1,0,0.756,0.42529296875
156,BUSI,MedSAM,calib,malignant (161),malignant (161),image,0.7841340094210979,0,1,0,0.48375,0.39990234375
157,BUSI,MedSAM,calib,malignant (166),malignant (166),image,0.7761288285445052,0,1,0,0.8578125,0.511962890625
158,BUSI,MedSAM,test,malignant (169),malignant (169),image,0.7577840679346632,0,1,0,0.602625,0.4931640625
159,BUSI,MedSAM,calib,malignant (17),malignant (17),image,0.8444947819755935,0,0,0,0.6125,0.42333984375
160,BUSI,MedSAM,test,malignant (177),malignant (177),image,0.6626721250466459,1,1,0,0.4403333333333333,0.3916015625
161,BUSI,MedSAM,test,malignant (182),malignant (182),image,0.8516019038147429,0,0,0,0.6375,0.4208984375
162,BUSI,MedSAM,test,malignant (183),malignant (183),image,0.8721135859510092,0,0,0,0.4349999999999999,0.38818359375
163,BUSI,MedSAM,test,malignant (187),malignant (187),image,0.5771121292624934,1,1,0,0.60675,0.400390625
164,BUSI,MedSAM,calib,malignant (19),malignant (19),image,0.8331851522560755,0,0,0,0.7833333333333333,0.451171875
165,BUSI,MedSAM,calib,malignant (197),malignant (197),image,0.8530190299041613,0,0,0,0.4740625,0.38916015625
166,BUSI,MedSAM,calib,malignant (20),malignant (20),image,0.8548778900793981,0,0,0,0.5183333333333333,0.38232421875
167,BUSI,MedSAM,calib,malignant (200),malignant (200),image,0.7768608959246477,0,1,0,0.5569999999999999,0.40771484375
168,BUSI,MedSAM,calib,malignant (204),malignant (204),image,0.7653975050157741,0,1,0,0.6,0.41162109375
